species,gbifID,occurrenceID,eventDate,year,month,day,lat,lon,locality,municipality,stateProvince,country,basisOfRecord,institutionCode,collectionCode,datasetKey,publisher,recordedBy,identifiedBy,license,coordinateUncertaintyInMeters,elevation,habitat,occurrenceStatus,issues
Crinodendron patagua,6131079513,https://www.inaturalist.org/observations/333677178,2026-01-04T16:35:52,2026.0,1.0,4.0,-36.133239,-71.327694,,,Maule,Chile,HUMAN_OBSERVATION,iNaturalist,Observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,Benjamín Andrés Maldonado-Paredes,Benjamín Andrés Maldonado-Paredes,http://creativecommons.org/licenses/by-nc/4.0/legalcode,,,,PRESENT,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
Crinodendron patagua,5087327260,https://www.inaturalist.org/observations/263401991,2025-02-28T15:13:40,2025.0,2.0,28.0,-36.26078,-71.418113,,,Maule,Chile,HUMAN_OBSERVATION,iNaturalist,Observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,rexuzz,rexuzz,http://creativecommons.org/licenses/by-nc/4.0/legalcode,60.0,,,PRESENT,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
Crinodendron patagua,5087561275,https://www.inaturalist.org/observations/264293449,2025-03-07T10:50:42,2025.0,3.0,7.0,-35.40757,-71.690777,,,Maule,Chile,HUMAN_OBSERVATION,iNaturalist,Observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,Diego Machacan Navarrete,Diego Machacan Navarrete,http://creativecommons.org/licenses/by-nc/4.0/legalcode,7.0,,,PRESENT,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
Crinodendron patagua,5087628899,https://www.inaturalist.org/observations/264292645,2025-03-07T10:47:16,2025.0,3.0,7.0,-35.40768,-71.690557,,,Maule,Chile,HUMAN_OBSERVATION,iNaturalist,Observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,polin_chilensis,polin_chilensis,http://creativecommons.org/licenses/by-nc/4.0/legalcode,5.0,,,PRESENT,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
Crinodendron patagua,5830429046,https://www.inaturalist.org/observations/268744228,2025-04-05T12:50:05,2025.0,4.0,5.0,-35.741211,-71.478285,,,Maule,Chile,HUMAN_OBSERVATION,iNaturalist,Observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,martin_arraztoa,martin_arraztoa,http://creativecommons.org/licenses/by-nc/4.0/legalcode,58.0,,,PRESENT,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
Crinodendron patagua,5828481658,https://www.inaturalist.org/observations/311713939,2025-09-05T11:02:22,2025.0,9.0,5.0,-35.049064,-71.77185,,,Maule,Chile,HUMAN_OBSERVATION,iNaturalist,Observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,djalma2631,djalma2631,http://creativecommons.org/licenses/by-nc/4.0/legalcode,6.0,,,PRESENT,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
Crinodendron patagua,4847101517,https://www.inaturalist.org/observations/207051730,2024-04-13T11:46:05,2024.0,4.0,13.0,-34.880955,-71.271828,,,Maule,Chile,HUMAN_OBSERVATION,iNaturalist,Observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,Juan Miguel Cancino,Juan Miguel Cancino,http://creativecommons.org/licenses/by-nc/4.0/legalcode,4.0,,,PRESENT,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
Crinodendron patagua,4994149006,https://www.inaturalist.org/observations/246087902,2024-10-03T14:23:03,2024.0,10.0,3.0,-35.659192,-71.922195,,,Maule,Chile,HUMAN_OBSERVATION,iNaturalist,Observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,alexis_planta-nativo,alexis_planta-nativo,http://creativecommons.org/licenses/by-nc/4.0/legalcode,16.0,,,PRESENT,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
Crinodendron patagua,5008346229,https://www.inaturalist.org/observations/255708346,2024-12-20T08:41:12,2024.0,12.0,20.0,-35.174992,-71.384078,,,Maule,Chile,HUMAN_OBSERVATION,iNaturalist,Observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,Luis Cid,Luis Cid,http://creativecommons.org/licenses/by-nc/4.0/legalcode,3.0,,,PRESENT,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
Crinodendron patagua,4018169775,https://www.inaturalist.org/observations/146269620,2023-01-10T10:32:54,2023.0,1.0,10.0,-35.972742,-72.14787,,,Maule,Chile,HUMAN_OBSERVATION,iNaturalist,Observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,Rodrigo Barros,Rodrigo Barros,http://creativecommons.org/licenses/by-nc/4.0/legalcode,19.0,,,PRESENT,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
Crinodendron patagua,4116170613,https://www.inaturalist.org/observations/160925198,2023-05-10T12:09:03,2023.0,5.0,10.0,-35.033832,-71.781556,,,Maule,Chile,HUMAN_OBSERVATION,iNaturalist,Observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,djalma2631,djalma2631,http://creativecommons.org/licenses/by-nc/4.0/legalcode,25.0,,,PRESENT,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
Crinodendron patagua,4527919849,https://www.inaturalist.org/observations/165570760,2023-06-04T15:08:53,2023.0,6.0,4.0,-35.125757,-71.720595,,,Maule,Chile,HUMAN_OBSERVATION,iNaturalist,Observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,djalma2631,djalma2631,http://creativecommons.org/licenses/by-nc/4.0/legalcode,9.0,,,PRESENT,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
Crinodendron patagua,4510133334,https://www.inaturalist.org/observations/195852794,2023-12-29T16:13:04,2023.0,12.0,29.0,-35.273497,-71.25249,,,Maule,Chile,HUMAN_OBSERVATION,iNaturalist,Observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,sebaoyarce,sebaoyarce,http://creativecommons.org/licenses/by-nc/4.0/legalcode,44.0,,,PRESENT,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
